GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In family households:,Margin of Error; In family households:,Estimate; In family households: - In married-couple family households,Margin of Error; In family households: - In married-couple family households,"Estimate; In family households: - In male householder, no wife present, family households","Margin of Error; In family households: - In male householder, no wife present, family households","Estimate; In family households: - In female householder, no husband present, family households","Margin of Error; In family households: - In female householder, no husband present, family households",Estimate; In nonfamily households,Margin of Error; In nonfamily households
3100000US10140,10140,"Aberdeen, WA Micro Area",16040,186,15740,271,10432,1410,452,345,4856,1338,300,214
3100000US10180,10180,"Abilene, TX Metro Area",39640,656,39361,685,26237,2137,3081,1484,10043,2101,279,245
3100000US10300,10300,"Adrian, MI Micro Area",23432,292,23228,366,16883,1287,2283,995,4062,1097,204,206
3100000US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",85415,1494,85047,1507,53420,3600,3881,1501,27746,3485,368,295
3100000US10420,10420,"Akron, OH Metro Area",163295,197,161981,584,112165,4633,9491,1947,40325,4338,1314,547
3100000US10500,10500,"Albany, GA Metro Area",44401,2189,44401,2189,22454,2511,2875,1333,19072,2742,0,292
3100000US10540,10540,"Albany-Lebanon, OR Micro Area",26545,7,26414,217,18200,1739,1404,805,6810,1743,131,217
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",183636,717,181127,1166,122820,4288,12162,2470,46145,4110,2509,1048
3100000US10700,10700,"Albertville, AL Micro Area",21856,348,21618,510,13447,1730,3230,1442,4941,1491,238,368
3100000US10740,10740,"Albuquerque, NM Metro Area",204513,1735,202900,1997,130976,4587,20716,4044,51208,4178,1613,916
3100000US10780,10780,"Alexandria, LA Metro Area",38092,1155,37866,1188,21105,2047,3598,1539,13163,2003,226,204
3100000US10880,10880,"Allegan, MI Micro Area",28998,408,28768,470,21723,1608,3041,971,4004,1352,230,250
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",180471,588,178179,1286,125137,4455,10163,2258,42879,4253,2292,1144
3100000US11020,11020,"Altoona, PA Metro Area",27085,204,27045,215,19609,1323,1497,573,5939,1237,40,67
3100000US11100,11100,"Amarillo, TX Metro Area",63837,641,63679,674,38715,2634,4160,1556,20804,2289,158,199
3100000US11180,11180,"Ames, IA Metro Area",14854,434,14677,497,11883,773,1164,630,1630,551,177,237
3100000US11260,11260,"Anchorage, AK Metro Area",95215,273,94164,669,66973,3320,6060,1291,21131,3353,1051,581
3100000US11300,11300,"Anderson, IN Metro Area",29715,422,29645,435,19080,1862,3180,1273,7385,1656,70,94
3100000US11340,11340,"Anderson, SC Metro Area",41718,545,41269,742,26692,2685,2668,1302,11909,2669,449,494
3100000US11460,11460,"Ann Arbor, MI Metro Area",73448,424,72509,905,52396,2899,3912,1274,16201,3020,939,924
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",26440,169,26024,447,16288,1551,2167,885,7569,1528,416,415
3100000US11540,11540,"Appleton, WI Metro Area",54892,178,54570,423,42738,1998,3014,1092,8818,1882,322,347
3100000US11700,11700,"Asheville, NC Metro Area",82368,1391,81918,1416,59781,3429,5422,1540,16715,2812,450,395
3100000US11780,11780,"Ashtabula, OH Micro Area",24689,181,24381,344,15883,1835,1887,918,6611,1862,308,277
3100000US11980,11980,"Athens, TX Micro Area",18448,7,18448,7,13254,1459,951,695,4243,1289,0,281
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",39485,2138,39141,2142,24361,3060,2373,1174,12407,1709,344,336
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1363141,4016,1348824,5195,899529,14097,93543,7476,355752,12116,14317,3078
3100000US12100,12100,"Atlantic City, NJ Metro Area",64590,210,64205,398,39064,2623,6025,1475,19116,2838,385,359
3100000US12180,12180,"Auburn, NY Micro Area",17585,246,17458,255,12246,1040,1267,437,3945,865,127,98
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",27875,63,27749,214,16537,1341,943,352,10269,1394,126,199
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",135144,2240,134161,2381,82040,4057,8348,2183,43773,3786,983,671
3100000US12300,12300,"Augusta-Waterville, ME Micro Area",25430,510,24659,601,14726,1721,3167,1067,6766,1559,771,409
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",378804,2216,377674,2247,266335,6939,26556,3571,84783,6638,1130,604
3100000US12540,12540,"Bakersfield, CA Metro Area",231273,218,229755,1014,143341,6887,22435,3598,63979,5909,1518,995
