GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; In family households:,Margin of Error; In family households:,Estimate; In family households: - In married-couple family,Margin of Error; In family households: - In married-couple family,"Estimate; In family households: - In male householder, no wife present, family","Margin of Error; In family households: - In male householder, no wife present, family","Estimate; In family households: - In female householder, no husband present, family","Margin of Error; In family households: - In female householder, no husband present, family",Estimate; In nonfamily households,Margin of Error; In nonfamily households
310M100US10140,10140,"Aberdeen, WA Micro Area",15342,296,15302,307,9160,1246,1462,766,4680,1274,40,69
310M100US10180,10180,"Abilene, TX Metro Area",38303,1123,37844,1162,23623,2317,2042,1075,12179,2239,459,403
310M100US10300,10300,"Adrian, MI Micro Area",22991,330,22854,402,14773,1919,1677,925,6404,1587,137,228
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",72500,991,72500,991,40318,3778,5372,1742,26810,3571,0,285
310M100US10420,10420,"Akron, OH Metro Area",155835,1061,155139,1170,106587,3795,8409,2166,40143,3978,696,457
310M100US10500,10500,"Albany, GA Metro Area",41386,1649,41195,1678,19774,2646,2521,1287,18900,2558,191,162
310M100US10540,10540,"Albany-Lebanon, OR Micro Area",28176,423,28018,476,17455,2387,2768,1774,7795,1979,158,214
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",183224,1716,181162,1982,125774,5069,13684,2751,41704,4188,2062,1116
310M100US10700,10700,"Albertville, AL Micro Area",23877,677,23812,705,16056,1866,1480,894,6276,1795,65,109
310M100US10740,10740,"Albuquerque, NM Metro Area",217741,1369,215683,1630,129866,5699,24927,4363,60890,5874,2058,966
310M100US10780,10780,"Alexandria, LA Metro Area",38476,767,38129,856,22458,2334,1048,712,14623,2087,347,330
310M100US10880,10880,"Allegan, MI Micro Area",29397,312,29397,312,21909,1817,1548,823,5940,1827,0,244
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",186311,959,185664,1063,127808,4296,10868,2363,46988,4144,647,416
310M100US11020,11020,"Altoona, PA Metro Area",26799,6,26445,374,17949,1649,2628,1102,5868,1365,354,374
310M100US11100,11100,"Amarillo, TX Metro Area",65742,960,64687,1359,44023,3191,4210,1673,16454,2669,1055,849
310M100US11180,11180,"Ames, IA Metro Area",16006,534,16006,534,12608,1116,534,340,2864,1127,0,228
310M100US11260,11260,"Anchorage, AK Metro Area",101428,315,100672,599,71756,3645,6608,2010,22308,3227,756,530
310M100US11300,11300,"Anderson, IN Metro Area",30290,249,28254,1271,15863,2021,3182,1735,9209,2070,2036,1242
310M100US11340,11340,"Anderson, SC Metro Area",44770,206,44589,340,27973,2552,3734,1252,12882,2493,181,279
310M100US11460,11460,"Ann Arbor, MI Metro Area",71253,457,71005,528,53555,2952,3436,1647,14014,2541,248,248
310M100US11500,11500,"Anniston-Oxford, AL Metro Area",26934,259,26889,275,14899,1889,1988,1075,10002,1583,45,79
310M100US11540,11540,"Appleton, WI Metro Area",58001,616,57491,772,43870,2393,4622,1577,8999,1906,510,412
310M100US11700,11700,"Asheville, NC Metro Area",84396,1146,83991,1237,60807,3250,5076,1641,18108,2948,405,437
310M100US11780,11780,"Ashtabula, OH Micro Area",23931,4,23800,153,14951,1507,2838,1216,6011,1420,131,153
310M100US11980,11980,"Athens, TX Micro Area",17731,107,17446,343,11973,1525,1661,1145,3812,1242,285,320
310M100US12020,12020,"Athens-Clarke County, GA Metro Area",40837,1363,40627,1421,26103,2564,2457,1640,12067,2164,210,265
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1397347,3653,1389435,4572,922351,13777,92195,8842,374889,14292,7912,2352
310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",63744,286,63093,610,39546,2999,5808,1674,17739,2652,651,546
310M100US12180,12180,"Auburn, NY Micro Area",17163,212,16967,264,12254,1071,1456,591,3257,945,196,261
310M100US12220,12220,"Auburn-Opelika, AL Metro Area",31638,27,31417,288,23269,1858,1179,589,6969,1748,221,288
310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",139432,1764,139083,1761,78574,5259,9128,2224,51381,5180,349,380
310M100US12300,12300,"Augusta-Waterville, ME Micro Area",24803,558,24486,589,14937,1588,3229,1065,6320,1606,317,282
310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",433592,3924,430966,4210,295974,8270,29731,5018,105261,7317,2626,1589
