GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
3100000US10180,10180,"Abilene, TX Metro Area",6454,949,426,380,254,208,1233,861,922,563,223,206,334,272,613,672,285,209,31,54,896,615,392,493,643,583,26,46,42,71,121,183,13,25
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",3941,825,169,153,405,269,308,301,756,391,221,199,250,191,538,454,44,57,280,218,426,364,248,263,183,192,99,120,14,26,0,269,0,269
3100000US10740,10740,"Albuquerque, NM Metro Area",53698,2945,5972,1233,3467,1003,4192,1080,3720,1116,3026,914,4296,1073,3861,1081,3281,902,2900,847,5052,1255,5431,1192,5459,1350,1831,648,402,277,515,276,293,218
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",14400,1526,2172,709,916,532,1221,609,1217,652,1525,706,832,552,627,492,354,304,1158,581,1374,711,1088,586,993,537,614,443,0,265,309,247,0,265
3100000US11100,11100,"Amarillo, TX Metro Area",7868,972,664,423,679,421,608,401,1063,504,340,232,1059,563,485,347,408,368,293,242,950,552,427,327,553,292,88,96,177,167,0,281,74,123
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",62953,3567,3573,1259,4601,1370,3518,1064,5174,1224,4183,1083,4291,1337,5148,1282,5450,1384,3067,1001,6494,1629,7079,1729,4790,1179,2516,746,1741,845,776,466,552,479
3100000US12100,12100,"Atlantic City, NJ Metro Area",8290,1327,974,599,804,499,795,619,659,486,583,423,809,635,901,532,263,362,363,333,217,267,1272,692,327,228,259,182,64,101,0,273,0,273
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",77077,3581,6476,1251,4597,1233,4811,1252,7417,1644,6172,1390,6317,1660,4033,1250,4955,1199,4681,1315,6873,1416,7950,1738,7060,1528,3250,926,1198,635,989,559,298,218
3100000US12540,12540,"Bakersfield, CA Metro Area",49705,2793,3878,909,3325,1089,4239,1119,4116,1120,4130,1167,3652,1127,3624,1175,4026,1210,3211,1134,3822,1192,4712,1153,3878,958,1955,683,438,281,165,159,534,358
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",8473,1477,603,398,99,170,237,233,184,192,621,434,227,218,824,496,505,289,764,512,282,190,1169,556,1313,616,793,676,720,530,35,64,97,123
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",4261,876,742,430,377,286,260,193,306,276,290,280,248,225,583,385,162,140,290,216,0,281,313,327,308,277,150,140,232,314,0,281,0,281
3100000US14260,14260,"Boise City-Nampa, ID Metro Area",4210,806,189,145,355,228,234,182,276,239,199,202,324,250,437,291,235,233,250,277,422,361,490,322,455,332,318,247,0,253,0,253,26,47
3100000US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",58230,3554,10555,1745,4430,1136,3039,872,4493,1107,3728,1113,3324,1045,3534,1284,2372,882,2347,868,4942,1225,5138,1211,5585,1399,2267,928,834,495,1315,644,327,228
3100000US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",15569,2091,1004,426,695,524,776,528,1307,656,977,570,1184,564,623,444,965,552,549,389,1487,671,2223,802,2359,924,379,238,258,258,282,295,501,326
3100000US15180,15180,"Brownsville-Harlingen, TX Metro Area",10264,1145,2292,534,1382,384,820,363,840,335,579,262,568,299,388,229,319,195,528,276,495,270,865,380,653,267,303,211,152,150,0,281,80,115
3100000US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",9879,1880,851,617,667,517,439,354,818,591,1183,602,1055,656,412,404,621,389,754,493,506,353,1186,511,720,470,139,167,370,394,158,191,0,300
3100000US16740,16740,"Charlotte-Gastonia-Concord, NC-SC Metro Area",13331,2010,279,232,704,608,1014,605,1795,814,858,661,1450,730,978,746,1102,737,768,541,1753,757,803,500,851,458,621,416,159,198,196,323,0,265
3100000US16980,16980,"Chicago-Naperville-Joliet, IL-IN-WI Metro Area",279241,7138,21759,2909,14186,2082,16878,2526,21028,2535,17197,1954,18909,2397,18936,2282,20057,2556,14830,2311,30104,2906,29822,2890,29842,2915,14792,2047,5614,1227,4039,1097,1248,657
3100000US17460,17460,"Cleveland-Elyria-Mentor, OH Metro Area",10770,1377,1640,656,1003,522,1228,665,1112,505,924,450,597,368,440,354,388,291,728,479,324,205,1034,502,591,309,492,428,149,188,120,159,0,261
3100000US17780,17780,"College Station-Bryan, TX Metro Area",4723,833,559,409,382,380,202,198,276,235,681,535,0,281,383,305,338,402,388,349,895,579,328,319,201,197,90,158,0,281,0,281,0,281
3100000US17820,17820,"Colorado Springs, CO Metro Area",11137,1561,625,377,711,405,718,400,1116,601,1116,572,1066,472,695,485,760,579,385,253,1034,517,1470,712,625,370,397,371,257,234,162,160,0,271
3100000US18140,18140,"Columbus, OH Metro Area",4000,845,210,174,480,427,141,165,172,172,441,363,241,201,365,354,228,215,220,186,211,180,356,230,313,194,236,190,338,333,48,57,0,261
3100000US18580,18580,"Corpus Christi, TX Metro Area",20377,2466,2512,812,2367,767,1593,549,1843,772,1136,414,2157,810,1405,697,761,518,764,454,1699,639,1557,606,1544,714,872,429,107,126,60,102,0,281
3100000US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",167644,6382,9688,1620,9643,1859,13897,2195,15253,2460,16702,2285,14234,2256,10786,2035,9672,1601,8940,1211,16262,2389,17620,2505,14888,1983,5592,1319,2237,752,1159,467,1071,588
3100000US19740,19740,"Denver-Aurora, CO Metro Area",60341,3491,5022,1256,4513,1192,3886,1489,3397,1193,4219,1301,5115,1293,3920,1037,4600,1243,3905,1153,4299,1079,5780,1418,6667,1552,2509,792,1114,444,983,540,412,276
3100000US19820,19820,"Detroit-Warren-Livonia, MI Metro Area",20904,1852,1673,709,1002,556,2094,881,2164,753,1124,624,1642,738,995,497,871,463,440,280,1897,674,2945,999,2000,750,940,478,694,487,314,264,109,123
3100000US20500,20500,"Durham, NC Metro Area",8731,1177,349,397,518,455,851,618,753,490,1581,917,433,265,144,173,499,499,920,589,918,542,1015,604,489,338,183,217,0,281,78,138,0,281
3100000US20940,20940,"El Centro, CA Metro Area",6908,1050,587,336,511,269,636,325,346,230,584,275,471,265,557,333,400,263,233,189,595,306,640,315,769,269,429,254,0,289,104,138,46,75
3100000US21340,21340,"El Paso, TX Metro Area",39000,2761,5205,1093,4216,944,3649,908,3623,876,3326,913,2498,791,3313,773,1600,480,1601,634,3229,893,2535,767,2214,591,1323,517,441,259,48,62,179,176
3100000US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",7641,1170,701,512,238,334,1047,647,347,364,897,580,786,490,493,401,708,485,393,304,665,443,467,378,552,481,0,265,347,297,0,265,0,265
3100000US23420,23420,"Fresno, CA Metro Area",44323,2645,4251,1005,2784,760,3909,899,4383,1001,4315,968,2213,779,2758,838,2973,898,2806,844,3060,899,3935,858,4326,1119,937,398,718,425,698,416,257,267
3100000US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",7469,1266,1095,657,391,458,1087,599,111,189,661,578,1072,807,770,513,446,373,529,406,397,281,314,285,318,249,184,239,94,116,0,235,0,235
3100000US24540,24540,"Greeley, CO Metro Area",4608,1029,820,564,113,149,231,189,144,145,178,155,254,182,376,400,503,329,183,182,145,122,677,409,659,352,245,213,0,271,0,271,80,134
3100000US24660,24660,"Greensboro-High Point, NC Metro Area",7316,1569,39,74,1102,849,1472,805,854,627,796,504,566,390,515,418,211,251,480,353,467,330,481,446,181,205,63,108,89,156,0,281,0,281
3100000US25020,25020,"Guayama, PR Metro Area",7174,1122,2396,913,1063,545,564,335,778,488,428,338,226,226,212,208,384,283,170,203,499,429,79,128,312,290,63,96,0,275,0,275,0,275
3100000US25260,25260,"Hanford-Corcoran, CA Metro Area",3596,764,107,111,355,318,178,179,293,197,225,190,473,410,131,175,227,192,95,123,587,393,295,203,460,317,152,142,0,289,18,34,0,289
3100000US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",20499,1986,3327,951,1662,803,1811,801,3259,900,919,493,1212,614,760,478,1050,503,601,346,1366,692,1773,599,1018,669,1049,472,422,311,270,309,0,269
3100000US26420,26420,"Houston-Sugar Land-Baytown, TX Metro Area",197763,6372,14999,2229,12815,1910,18438,2166,18267,2335,17556,2795,16574,1806,15960,2406,10703,1971,12144,1913,15938,2012,14929,1939,16546,2147,6863,1409,3165,826,1408,611,1458,674
3100000US26900,26900,"Indianapolis-Carmel, IN Metro Area",10688,1265,1305,577,959,564,373,279,658,401,1277,580,598,396,715,466,559,371,623,427,609,458,861,434,885,396,839,475,136,155,215,234,76,132
3100000US27260,27260,"Jacksonville, FL Metro Area",5846,1197,357,343,63,109,349,355,434,410,386,347,409,334,613,439,107,132,188,162,561,402,1130,594,511,456,158,160,202,207,99,157,279,426
3100000US28140,28140,"Kansas City, MO-KS Metro Area",16927,1770,1015,564,1111,597,1438,708,1413,673,782,474,2476,1085,850,438,1473,693,564,371,1708,679,1015,479,1820,666,591,351,364,395,257,281,50,87
3100000US28420,28420,"Kennewick-Richland-Pasco, WA Metro Area",10019,1025,926,432,773,462,884,484,938,550,520,314,1622,793,1341,621,722,415,531,474,608,435,182,181,321,281,273,261,0,267,259,365,119,137
3100000US28660,28660,"Killeen-Temple-Fort Hood, TX Metro Area",5554,1159,425,275,482,352,360,228,477,348,65,93,456,329,696,521,421,299,184,163,679,396,527,321,535,299,179,204,68,116,0,281,0,281
3100000US29460,29460,"Lakeland, FL Metro Area",9584,1345,865,433,529,371,1169,600,806,443,581,414,225,242,1199,565,663,418,151,145,1288,589,919,623,552,398,347,333,163,262,74,124,53,87
3100000US29540,29540,"Lancaster, PA Metro Area",4221,915,307,245,306,279,525,398,401,317,627,445,479,336,289,320,266,285,160,136,235,290,485,394,63,108,0,240,78,119,0,240,0,240
3100000US29700,29700,"Laredo, TX Metro Area",10537,1486,1442,581,618,312,1157,587,848,369,560,386,869,496,172,147,759,509,564,333,960,502,920,426,932,336,574,437,109,131,53,86,0,281
3100000US29740,29740,"Las Cruces, NM Metro Area",5141,889,659,284,428,236,599,327,173,174,322,188,265,220,359,270,242,231,183,188,462,268,460,263,482,354,245,203,146,168,51,83,65,110
3100000US29820,29820,"Las Vegas-Paradise, NV Metro Area",41781,2969,2978,904,942,601,2568,923,3609,1123,3151,928,3137,976,2679,821,2488,719,2239,753,4736,1191,5214,898,5008,1207,1417,633,835,516,356,246,424,358
3100000US31100,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",765501,9196,46596,3077,51957,3549,53430,4214,58727,3932,53620,4820,51453,3590,49304,3175,43879,3923,40926,3947,67771,4003,83445,4868,77201,4527,44907,4035,18438,2185,15324,2167,8523,1456
3100000US31180,31180,"Lubbock, TX Metro Area",10515,1464,1594,637,1171,671,1423,675,654,297,727,403,1433,657,628,413,502,335,279,276,561,391,1014,584,359,344,61,104,50,82,59,72,0,281
3100000US31460,31460,"Madera, CA Metro Area",4129,856,456,287,213,196,149,139,468,255,398,275,336,238,169,172,152,173,174,177,419,309,401,279,561,302,233,205,0,289,0,289,0,289
3100000US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",73064,4329,15606,2328,9260,2044,7743,1468,5251,1159,5173,1330,3788,1240,2576,896,3528,1299,2332,831,5502,1491,5207,1338,4007,1102,806,468,1449,780,398,300,438,395
3100000US32820,32820,"Memphis, TN-MS-AR Metro Area",7681,1080,250,292,331,369,1001,578,518,320,1015,556,569,483,190,149,869,639,487,355,659,327,339,270,1109,660,185,203,93,114,0,265,66,117
3100000US32900,32900,"Merced, CA Metro Area",11366,2033,909,558,754,455,750,647,778,432,561,436,1508,735,1042,621,525,373,835,536,1434,722,826,614,855,465,222,192,162,167,205,237,0,289
3100000US33100,33100,"Miami-Fort Lauderdale-Miami Beach, FL Metro Area",88112,5396,6409,1366,3909,1053,6335,1324,5054,1159,6600,1487,5527,1134,7557,1692,5668,1347,4712,1187,7048,1471,9674,1535,9321,1712,4085,845,2953,1053,1674,689,1586,735
3100000US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",21918,1516,2403,885,2062,795,2391,873,1403,482,2818,936,1693,666,1336,699,735,526,1245,573,2241,800,1756,707,1071,487,298,249,290,182,0,211,176,286
