GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",13674,1687,4832,1002,1563,671,1461,530,533,307,942,423,596,368,452,389,466,368,521,378,1318,593,401,315,273,273,265,267,0,220,51,81,0,220
310M200US10740,10740,"Albuquerque, NM Metro Area",37083,3119,6043,1446,1750,816,3466,1334,2552,900,2179,909,2998,1074,1009,467,2842,1116,1466,781,2120,708,3353,1034,3917,1076,1596,626,639,450,848,537,305,248
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",11365,1417,1592,657,679,434,1240,584,659,399,539,368,727,400,619,428,668,385,502,419,1539,694,1152,563,1044,617,131,162,63,102,170,216,41,66
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",47390,3329,2424,823,2991,984,4471,1473,4283,1486,5149,1477,3769,1087,1940,842,3262,1070,2489,943,3666,1318,4412,1280,4709,1621,1974,1046,795,521,496,396,560,358
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",21404,2574,945,455,1468,805,2463,903,1557,590,1036,423,1513,746,1042,526,1249,815,696,506,2695,827,1631,486,2028,729,1335,572,1135,632,185,197,426,295
310M200US12540,12540,"Bakersfield, CA Metro Area",20638,2327,1582,732,1640,601,1675,770,1603,658,805,440,926,407,1317,608,878,354,1481,714,1644,626,2049,541,2160,898,1717,876,330,238,615,357,216,202
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",9386,1685,37,63,36,55,311,310,96,161,401,266,319,350,1076,556,514,350,739,472,724,509,2465,1193,785,482,498,372,983,530,210,249,192,194
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",6607,1036,619,509,654,447,380,351,943,534,996,614,499,450,663,402,302,271,396,369,530,327,344,366,104,175,177,190,0,189,0,189,0,189
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",59784,3492,10727,1908,4810,1204,3707,1192,4919,1363,2975,1003,3398,1057,3052,948,2832,1006,2104,877,4104,880,5932,1353,4899,1280,2860,850,1192,514,1594,676,679,362
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",19122,1844,1149,486,1271,659,889,529,1540,653,1620,700,1211,691,1261,639,999,487,892,491,1760,768,2484,888,1498,570,606,361,363,264,652,452,927,441
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",2980,713,371,269,170,127,233,151,153,136,313,194,138,137,192,161,89,87,274,165,292,181,159,156,355,305,142,120,39,66,60,101,0,211
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",8656,1249,2479,819,1488,635,773,463,527,392,456,377,397,319,466,382,380,326,139,229,162,252,523,410,457,406,291,224,31,54,87,104,0,189
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",22902,1967,1784,708,1171,610,2182,875,2576,903,2451,1042,2096,714,1849,768,1097,520,1210,606,1650,713,1772,834,1987,883,597,379,159,195,154,152,167,221
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",193807,5645,9959,1715,8216,1439,11354,1610,12722,1673,13057,2030,12349,1993,12123,1774,14044,2281,11061,1676,17130,2153,23571,2370,23058,2643,12541,1867,6428,1259,4520,1092,1674,686
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",7659,1254,1067,433,727,457,482,330,558,398,556,381,654,354,256,238,174,168,529,420,561,279,960,578,199,152,248,221,218,209,316,287,154,143
310M200US17820,17820,"Colorado Springs, CO Metro Area",10139,1542,880,559,868,557,1034,537,1100,672,606,550,298,263,654,495,591,458,742,537,708,489,1259,788,656,453,523,417,126,149,35,57,59,98
310M200US18140,18140,"Columbus, OH Metro Area",5689,1215,599,353,107,138,443,304,413,334,306,228,538,334,1012,602,209,191,341,283,560,349,343,267,509,402,158,274,101,151,0,185,50,85
310M200US18580,18580,"Corpus Christi, TX Metro Area",4894,961,436,288,163,140,302,225,547,293,250,210,235,230,166,168,259,178,131,126,634,401,848,402,466,235,143,145,136,151,110,133,68,83
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",96348,4855,6852,1392,6353,1248,5936,1391,8887,1649,6539,1299,6411,1163,6766,1527,6229,1411,4966,1093,8922,1509,8735,1733,10194,1762,4420,1108,2014,703,1772,642,1352,558
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",30305,2693,2957,822,1600,730,1122,408,2638,825,1946,721,2233,642,1512,550,2262,696,1486,715,2585,841,3077,883,2925,801,2261,815,598,478,690,349,413,300
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",13323,1382,997,462,486,300,786,337,480,355,500,357,1631,677,733,436,1110,582,718,372,1639,708,1393,479,1526,670,678,352,166,161,293,202,187,126
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",5235,962,531,445,423,353,191,240,249,272,749,536,577,404,564,446,635,457,173,231,61,80,247,225,668,437,114,135,0,198,53,91,0,198
310M200US20940,20940,"El Centro, CA Metro Area",7391,1384,889,512,937,540,784,511,549,395,790,485,141,124,109,138,212,180,186,184,796,465,583,389,658,406,445,325,127,207,100,120,85,137
310M200US21340,21340,"El Paso, TX Metro Area",22966,2301,4238,1019,1873,669,2562,858,2008,850,1988,758,1200,598,1253,452,1506,601,600,444,1125,610,1375,464,1058,460,940,438,505,415,516,323,219,270
310M200US23420,23420,"Fresno, CA Metro Area",48949,3164,5738,1234,4031,995,4138,1180,3481,1098,4073,1093,3657,833,3440,1111,2226,728,1822,696,3552,1028,4608,964,4622,1258,2182,898,692,392,550,346,137,224
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",7734,1387,504,449,311,358,291,267,1043,642,369,265,785,544,449,430,435,322,618,524,972,608,836,536,955,675,120,194,0,165,22,36,24,42
310M200US24540,24540,"Greeley, CO Metro Area",3302,727,189,150,378,288,202,152,114,126,27,35,312,230,81,96,53,94,358,392,345,309,289,222,440,329,302,265,76,124,64,111,72,115
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",6761,1118,505,386,555,460,57,97,783,515,301,332,470,415,699,568,356,344,587,408,855,593,487,358,321,274,364,344,339,354,0,200,82,140
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",17659,2091,2652,915,1884,685,1818,704,795,459,1278,613,1035,600,1842,851,556,389,1167,742,714,360,1361,681,916,533,642,498,561,592,47,78,391,359
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",126863,5989,7562,1509,6449,1544,9251,1928,11978,2017,6929,1455,11623,1870,6151,1322,7921,1652,6676,1712,11448,2289,14072,2287,12445,2073,6471,1511,3174,1082,2581,954,2132,899
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",9754,1739,872,483,700,503,594,414,1081,569,2195,1108,130,150,125,119,1172,690,591,474,384,331,481,353,575,354,237,232,96,163,521,512,0,187
310M200US28140,28140,"Kansas City, MO-KS Metro Area",16917,1854,1989,625,1813,571,1430,618,2261,821,1094,579,1414,670,603,361,958,443,672,415,888,405,1101,495,1371,591,550,325,258,218,233,171,282,231
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",9030,1361,529,398,227,278,670,487,752,455,477,331,910,591,861,605,158,203,477,396,582,343,1750,726,1036,512,83,143,231,220,39,62,248,418
310M200US28660,28660,"Killeen-Temple, TX Metro Area",6359,1243,202,196,354,247,447,438,214,223,234,177,362,309,287,245,636,613,251,332,529,455,580,536,1363,685,367,342,452,527,0,211,81,108
310M200US29700,29700,"Laredo, TX Metro Area",2773,674,213,156,274,172,235,167,209,151,300,211,322,298,101,108,186,164,0,211,175,168,237,156,55,67,213,185,81,79,0,211,172,197
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",61499,3604,3818,1023,4509,1126,2779,868,4620,1154,4284,1242,5191,1198,3557,796,4153,1144,3637,1100,5022,1125,7154,1368,7096,1573,3062,987,765,429,1339,623,513,451
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",574265,9487,29098,2674,33818,2282,34976,2638,43439,2961,38306,3161,42295,2792,34402,3129,31173,2658,27757,2558,49938,3613,58549,3491,67997,4227,37539,3217,19376,2253,15649,2022,9953,1575
310M200US31180,31180,"Lubbock, TX Metro Area",9286,1637,504,426,527,410,321,281,299,278,1124,769,732,447,783,505,720,616,747,673,1445,763,374,309,1029,620,368,368,170,163,84,119,59,100
310M200US32420,32420,"Mayagüez, PR Metro Area",19628,1565,8065,1114,3118,849,1284,554,1410,552,1398,592,1230,597,373,265,691,482,381,289,587,451,503,338,255,232,289,219,44,76,0,220,0,220
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",14421,1938,2651,1058,2407,888,1267,622,1332,514,202,140,974,554,1196,686,929,604,637,462,519,306,669,465,904,489,102,124,116,159,382,383,134,138
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",6800,1157,389,282,811,426,723,464,946,479,434,381,645,544,709,508,297,299,465,336,734,471,140,185,334,246,36,60,0,187,0,187,137,215
310M200US32900,32900,"Merced, CA Metro Area",16574,1698,1183,513,1379,666,1152,608,1455,634,1328,560,1716,818,1046,505,1000,483,317,237,1863,806,1832,615,1462,741,505,387,149,250,120,161,67,110
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",41709,2897,3941,990,1706,650,1965,747,2360,631,2997,851,1847,716,2716,1093,2591,676,3269,966,4069,1268,3996,877,4126,1364,3104,1059,1603,706,596,389,823,559
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",12712,1335,1846,629,1335,559,778,410,1830,683,862,396,1063,495,670,435,623,420,1010,397,839,336,807,370,450,313,75,100,247,228,140,174,137,227
