GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
3100000US10180,10180,"Abilene, TX Metro Area",158548,919,117617,1828,10828,732,566,344,2266,326,0,281,23507,1949,3764,1250,782,491,2982,1164
3100000US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",336502,3497,301683,5088,6717,2222,1051,997,255,277,0,275,19748,3734,7048,2151,885,728,6163,1953
3100000US10420,10420,"Akron, OH Metro Area",700943,,592203,1732,81926,1704,1492,464,12417,600,395,564,4395,1792,8115,1793,423,418,7692,1776
3100000US10500,10500,"Albany, GA Metro Area",165062,4713,80213,3552,81563,3247,257,266,1049,327,0,292,570,540,1410,869,0,292,1410,869
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",850957,,737981,2362,59751,2108,2024,578,26176,899,135,176,12288,2483,12602,1932,553,402,12049,1942
3100000US10740,10740,"Albuquerque, NM Metro Area",815430,2983,536529,9051,21877,1325,50091,2583,15678,1115,423,401,160992,9076,29840,3997,18698,3884,11142,2007
3100000US10780,10780,"Alexandria, LA Metro Area",150827,2016,101325,2009,43969,1149,1164,316,1234,324,78,130,1754,876,1303,513,49,81,1254,506
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",800336,,689044,3749,32339,1736,654,434,18244,1105,255,350,47577,3745,12223,1895,3241,930,8982,1715
3100000US11020,11020,"Altoona, PA Metro Area",126494,,122538,176,1803,600,153,240,771,92,53,89,323,207,853,593,61,135,792,576
3100000US11100,11100,"Amarillo, TX Metro Area",240981,1144,187530,2953,14012,883,1393,750,4879,287,213,343,27328,3101,5626,1237,1783,832,3843,991
3100000US11180,11180,"Ames, IA Metro Area",80145,,71830,592,1207,486,49,89,5133,341,0,221,1174,826,752,348,109,105,643,336
3100000US11260,11260,"Anchorage, AK Metro Area",359180,,265860,2096,15806,1882,17794,1954,17652,1567,2983,564,6000,1667,33085,4087,1708,879,31377,3979
3100000US11300,11300,"Anderson, IN Metro Area",130575,,116007,682,11196,684,75,91,286,246,0,263,1637,635,1374,606,271,221,1103,608
3100000US11340,11340,"Anderson, SC Metro Area",177963,,143661,910,27641,1277,355,128,1101,292,0,283,1747,884,3458,1297,122,219,3336,1296
3100000US11460,11460,"Ann Arbor, MI Metro Area",344047,,260733,1436,42335,1424,880,525,27885,1029,164,270,3632,1313,8418,1817,837,439,7581,1805
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",112903,,86986,565,22605,734,675,194,799,590,0,265,1027,550,811,476,41,72,770,471
3100000US11540,11540,"Appleton, WI Metro Area",217313,,201892,711,1522,303,3055,413,5737,695,0,211,3122,885,1985,619,271,234,1714,632
3100000US11700,11700,"Asheville, NC Metro Area",396192,2507,358846,3531,20758,1135,1453,737,2993,421,162,179,8215,1953,3765,1154,480,425,3285,1048
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",190851,4508,142032,4180,37226,2672,551,464,5691,1240,0,292,3104,1568,2247,825,441,326,1806,803
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5134871,8074,2982015,14511,1603301,7245,9782,1845,208881,3494,1457,1225,263315,12668,66120,6247,15631,4199,50489,4908
3100000US12100,12100,"Atlantic City, NJ Metro Area",271620,,178184,3080,44553,746,221,241,17984,355,40,70,27327,3091,3311,729,397,338,2914,616
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",125781,,92072,863,29169,404,149,121,2405,95,0,265,570,807,1416,463,228,296,1188,435
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",523031,4466,312575,3701,182372,3654,1096,515,7824,840,1062,988,8472,2045,9630,2205,1525,812,8105,2079
