GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US10180,10180,"Abilene, TX Metro Area",170860,2842,133505,3716,14106,1515,1270,311,3537,618,8,15,13436,2469,4998,1478,1263,826,3735,1292
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",309764,1963,218378,7003,10579,1904,182,305,0,222,51,75,70191,6150,10383,3117,709,526,9674,3029
310M300US10420,10420,"Akron, OH Metro Area",702221,,575245,1242,84859,2614,677,443,19953,1258,149,154,1896,1048,19442,2754,591,458,18851,2722
310M300US10500,10500,"Albany, GA Metro Area",152506,2130,64277,1357,82244,2447,258,344,1507,414,112,146,1535,946,2573,1277,56,67,2517,1279
310M300US10540,10540,"Albany, OR Metro Area",122849,,110734,2098,595,400,1248,569,1299,598,74,49,4511,2127,4388,881,128,129,4260,876
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",881839,,729563,3617,66138,3770,2446,1162,38758,1461,310,383,15539,3230,29085,3472,3224,1295,25861,3309
310M300US10740,10740,"Albuquerque, NM Metro Area",913924,3421,656936,10742,23357,1894,55362,3197,21364,1943,523,549,121827,9678,34555,4455,13760,2897,20795,3056
310M300US10780,10780,"Alexandria, LA Metro Area",154789,,101855,811,45614,1098,842,467,2383,273,0,208,863,462,3232,1037,257,230,2975,1022
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",835652,,705544,6274,49183,3573,934,409,23270,1468,0,193,33939,4793,22782,3808,4048,1659,18734,3489
310M300US11020,11020,"Altoona, PA Metro Area",124650,,119127,544,2498,559,17,30,844,184,262,330,354,510,1548,524,113,187,1435,529
310M300US11100,11100,"Amarillo, TX Metro Area",263491,1713,222970,2752,15722,1465,1333,512,7994,1196,390,350,7123,2025,7959,2118,1253,685,6706,2024
310M300US11180,11180,"Ames, IA Metro Area",97090,,84190,255,1423,1014,178,115,8417,241,0,159,340,227,2542,1007,46,84,2496,1001
310M300US11260,11260,"Anchorage, AK Metro Area",402557,,271155,2433,17121,1846,29371,3276,28225,2767,7810,311,8260,2495,40615,4679,1632,1058,38983,4456
310M300US11460,11460,"Ann Arbor, MI Metro Area",364709,,269158,1179,43375,2272,1789,1063,31232,1680,179,292,2218,1037,16758,3348,656,419,16102,3360
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",114611,,84357,912,24160,556,803,960,1064,279,0,195,2129,1066,2098,667,119,171,1979,670
310M300US11540,11540,"Appleton, WI Metro Area",234079,,212632,1391,2887,772,3474,568,7362,709,65,107,3576,1248,4083,1175,425,404,3658,1137
310M300US11640,11640,"Arecibo, PR Metro Area",185250,,161125,3776,6944,2194,54,91,510,386,0,222,13599,3033,3018,1355,1322,999,1696,1163
310M300US11700,11700,"Asheville, NC Metro Area",452319,,411467,2224,22168,1932,1140,567,5956,1131,425,486,3893,2045,7270,1811,342,263,6928,1804
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",206360,2059,151899,2954,39966,1401,315,327,6725,613,40,62,4274,1992,3141,979,221,266,2920,909
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5790210,2964,3104150,15535,1970242,11194,23324,4845,330979,4718,2732,1254,205514,18024,153269,11919,25105,5186,128164,10831
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",270991,,176909,3878,41557,1895,824,207,22599,887,60,76,20986,4276,8056,2438,3178,1630,4878,1745
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",158991,,111185,1161,37968,1543,0,195,6648,450,63,111,828,746,2299,1211,260,318,2039,1126
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",595147,1610,349634,3520,210051,4471,2103,1267,12601,742,1744,1451,6775,2238,12239,3100,514,377,11725,3074
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",2056405,,1592000,11193,148246,4207,7665,2338,116620,3969,1640,1081,118514,11223,71720,7259,11992,2851,59728,6733
310M300US12540,12540,"Bakersfield, CA Metro Area",884788,,642077,11728,47668,3254,11936,4361,40615,2200,3142,2611,106937,9374,32413,4661,8614,2060,23799,3788
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2798886,,1700012,6154,814885,6140,6621,1297,151431,3279,1474,948,35829,5491,88634,7643,8634,2876,80000,6999
310M300US12620,12620,"Bangor, ME Metro Area",151806,,143639,436,811,410,1940,697,1404,270,0,172,338,358,3674,704,53,72,3621,697
310M300US12700,12700,"Barnstable Town, MA Metro Area",214276,,196365,1708,5175,1589,914,593,2951,617,1034,1215,2794,1285,5043,1932,1318,1362,3725,1287
310M300US12940,12940,"Baton Rouge, LA Metro Area",835175,,494777,2669,293237,4290,1918,1817,16045,1347,60,108,11192,2565,17946,4424,318,352,17628,4454
310M300US12980,12980,"Battle Creek, MI Metro Area",134386,,110181,871,14071,1349,539,235,2622,773,0,168,848,698,6125,1644,84,158,6041,1625
310M300US13020,13020,"Bay City, MI Metro Area",104747,,99068,637,2410,588,241,313,309,273,0,168,630,513,2089,596,144,207,1945,549
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",409901,1843,288075,2468,99780,1516,1254,527,11587,474,198,212,4710,1507,4297,1227,929,490,3368,1069
310M300US13220,13220,"Beckley, WV Metro Area",120924,,108313,1104,7689,1283,276,433,590,582,0,193,1026,787,3030,913,65,105,2965,918
310M300US13380,13380,"Bellingham, WA Metro Area",216800,,178402,1867,2619,469,6037,828,9298,1242,524,256,11147,2125,8773,1807,476,412,8297,1732
310M300US13460,13460,"Bend-Redmond, OR Metro Area",181307,,167962,2023,1089,492,806,483,1730,537,87,139,3582,1751,6051,1043,639,677,5412,949
310M300US13740,13740,"Billings, MT Metro Area",169736,1081,155260,1297,927,575,6287,1599,1017,407,0,168,786,455,5459,1593,390,273,5069,1549
